3,1,1,set(),True
6,0,0,set(),False
7,0,0,set(),False
3,0,0,set(),False
3,0,0,set(),False
3,0,0,set(),False
8,0,0,set(),False
9,0,0,set(),False
4,0,0,set(),False
4,0,0,set(),False
5,0,0,[],False
10,0,0,[],False
11,0,0,[],False
5,0,0,[],False
5,0,0,[],False
6,3,3,"['osint:source-type=""automatic-collection""', 'osint:source-type=""block-or-filter-list""']",True
12,0,0,[],False
13,0,0,[],False
6,0,0,[],False
6,0,0,[],False
1516,7,3,3,"['osint:source-type=""automatic-collection""', 'osint:source-type=""block-or-filter-list""']",True
1517,14,0,0,[],False
1518,15,0,0,[],False
1519,7,0,0,[],False
1520,7,0,0,[],False
1521,8,3,3,"['osint:source-type=""automatic-collection""', 'osint:source-type=""block-or-filter-list""']",True
1522,16,0,0,[],False
1523,17,0,0,[],False
1524,8,0,0,[],False
1525,8,0,0,[],False
1527,9,3,3,"['osint:source-type=""automatic-collection""', 'osint:source-type=""block-or-filter-list""']",True
1528,18,0,0,[],False
1529,19,0,0,[],False
1530,9,0,0,[],False
1531,9,0,0,[],False
1532,10,3,3,"['osint:source-type=""automatic-collection""', 'osint:source-type=""block-or-filter-list""']",True
1533,20,0,0,[],False
1534,21,0,0,[],False
1535,10,0,0,[],False
1536,10,0,0,[],False
1542,1,0,0,[],False
1543,1,0,0,[],False
1544,1,0,0,[],False
1545,1,0,0,[],False
1546,1,0,0,[],False
1547,1,0,0,[],False
1548,1,0,0,[],False
1549,1,0,0,[],False
1550,1,0,0,[],False
1551,1,0,0,[],False
1552,1,0,0,[],False
1553,1,0,0,[],False
1554,1,0,0,[],False
1555,1,0,0,[],False
1556,1,0,0,[],False
1557,1,0,0,[],False
1558,1,0,0,[],False
1559,1,0,0,[],False
1560,1,0,0,[],False
1561,1,0,0,[],False
1562,1,0,0,[],False
1563,1,0,0,[],False
1564,1,0,0,[],False
1565,1,0,0,[],False
1566,1,0,0,[],False
1567,1,0,0,[],False
1568,1,0,0,[],False
1569,1,0,0,[],False
1570,1,0,0,[],False
1571,1,0,0,[],False
1572,1,0,0,[],False
1573,1,0,0,[],False
1574,1,0,0,[],False
1575,1,0,0,[],False
1576,1,0,0,[],False
1577,1,0,0,[],False
1578,1,0,0,[],False
1579,1,0,0,[],False
1580,1,0,0,[],False
1581,1,0,0,[],False
1582,1,0,0,[],False
1583,1,0,0,[],False
1584,1,0,0,[],False
1585,1,0,0,[],False
1586,1,0,0,[],False
1587,1,0,0,[],False
1588,1,0,0,[],False
1589,1,0,0,[],False
1590,1,0,0,[],False
1591,1,0,0,[],False
1592,1,0,0,[],False
1593,1,0,0,[],False
1594,1,0,0,[],False
1595,1,0,0,[],False
1596,1,0,0,[],False
1597,1,0,0,[],False
1598,1,0,0,[],False
1599,1,0,0,[],False
1600,1,0,0,[],False
1601,1,0,0,[],False
1602,1,0,0,[],False
1603,1,0,0,[],False
1604,1,0,0,[],False
1605,1,0,0,[],False
1606,1,0,0,[],False
1607,1,0,0,[],False
1608,1,0,0,[],False
1609,1,0,0,[],False
1610,1,0,0,[],False
1611,1,0,0,[],False
1612,1,0,0,[],False
1613,1,0,0,[],False
1614,1,0,0,[],False
1615,1,0,0,[],False
1616,1,0,0,[],False
1617,1,0,0,[],False
1618,1,0,0,[],False
1619,1,0,0,[],False
1620,1,0,0,[],False
1621,1,0,0,[],False
1623,1,0,0,[],False
1624,1,0,0,[],False
1625,1,0,0,[],False
1626,1,0,0,[],False
1627,1,0,0,[],False
